📺央视频道,#genre#
CCTV6,http://39.134.65.209/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.211/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.213/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CCTV7,http://39.134.65.141/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.175/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.194/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.200/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.207/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.209/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.211/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.213/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CCTV8,http://39.134.65.141/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.175/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.196/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.200/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.207/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.209/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.211/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.213/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CCTV9,http://39.134.65.141/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://39.134.65.175/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://39.134.65.196/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://39.134.65.200/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://39.134.65.207/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://39.134.65.209/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://39.134.65.211/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://39.134.65.213/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225730/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CCTV10,http://39.134.65.141/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://39.134.65.175/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://39.134.65.194/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://39.134.65.196/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://39.134.65.207/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://39.134.65.209/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://39.134.65.211/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://39.134.65.213/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225597/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CCTV11,http://39.134.65.141/PLTV/88888888/224/3221226123/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV11,http://39.134.65.175/PLTV/88888888/224/3221225517/1.m3u8
CCTV11,http://39.134.65.194/PLTV/88888888/224/3221225517/1.m3u8
CCTV11,http://39.134.65.196/PLTV/88888888/224/3221225517/1.m3u8
CCTV11,http://39.134.65.207/PLTV/88888888/224/3221225517/1.m3u8
CCTV11,http://39.134.65.209/PLTV/88888888/224/3221225517/1.m3u8
CCTV11,http://39.134.65.211/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225731/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CCTV12,http://39.134.65.141/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://39.134.65.175/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://39.134.65.194/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://39.134.65.200/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://39.134.65.207/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://39.134.65.209/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://39.134.65.211/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://39.134.65.213/PLTV/88888888/224/3221225669/1.m3u8
CCTV13,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226011/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CCTV13,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226537/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CCTV13,http://39.134.65.141/PLTV/88888888/224/3221226125/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221226125/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.65.175/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.65.194/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.65.196/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.65.198/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.65.200/PLTV/88888888/224/3221225812/1.m3u8
CCTV14,http://39.134.65.141/PLTV/88888888/224/3221226132/1.m3u8
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://39.134.65.175/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://39.134.65.196/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://39.134.65.200/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://39.134.65.207/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://39.134.65.209/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://39.134.65.211/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://39.134.65.213/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://39.134.65.215/PLTV/88888888/224/3221225674/1.m3u8
CCTV15,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225601/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CCTV15,http://39.134.65.141/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://39.134.65.175/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://39.134.65.198/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://39.134.65.200/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://39.134.65.207/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://39.134.65.209/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://39.134.65.211/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://39.134.65.213/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.65.141/PLTV/88888888/224/3221225893/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV16,http://39.134.65.173/PLTV/88888888/224/3221225893/1.m3u8
CCTV16,http://39.134.65.194/PLTV/88888888/224/3221225893/1.m3u8
CCTV16,http://39.134.65.196/PLTV/88888888/224/3221225893/1.m3u8
CCTV16,http://39.134.65.200/PLTV/88888888/224/3221225893/1.m3u8
CCTV16,http://39.134.65.207/PLTV/88888888/224/3221225893/1.m3u8
CCTV16,http://39.134.65.213/PLTV/88888888/224/3221225893/1.m3u8
CCTV16,http://39.134.65.215/PLTV/88888888/224/3221225893/1.m3u8
CCTV16,http://39.134.65.239/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.65.141/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226841/index.m3u8
CCTV17,http://39.134.65.207/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://39.134.65.209/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://39.134.65.215/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://39.134.65.239/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://39.134.65.243/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://39.134.65.247/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://39.134.65.249/PLTV/88888888/224/3221225708/1.m3u8
CCTV高清,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225680/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CCTV4美洲,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000351/index.m3u8
CCTV4欧洲,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000350/index.m3u8
发现之旅,http://121.237.204.65:35455/mgtv/624878970.m3u8
风云剧场,http://121.237.204.65:35455/nptv/fyjc.m3u8
老故事,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
百姓健康,https://play-hsbj.vzan.com/2146882248/645899275683339739/live.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
中国交通,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000073/index.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CETV1,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225652/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CETV1,http://39.134.65.194/PLTV/88888888/224/3221225563/1.m3u8
CETV1,http://39.134.65.198/PLTV/88888888/224/3221225563/1.m3u8
CETV1,http://39.134.65.207/PLTV/88888888/224/3221225563/1.m3u8
CETV1,http://39.134.65.209/PLTV/88888888/224/3221225563/1.m3u8
CETV1,http://39.134.65.211/PLTV/88888888/224/3221225563/1.m3u8
CETV1,http://39.134.65.213/PLTV/88888888/224/3221225563/1.m3u8
CETV1,http://39.134.65.239/PLTV/88888888/224/3221225563/1.m3u8
CETV1,http://39.134.65.243/PLTV/88888888/224/3221225563/1.m3u8
CETV1,http://39.134.65.245/PLTV/88888888/224/3221225563/1.m3u8
CETV2,http://39.134.65.198/PLTV/88888888/224/3221226064/1.m3u8
CETV2,http://39.134.65.215/PLTV/88888888/224/3221226064/1.m3u8
CETV2,http://39.134.67.110/PLTV/88888888/224/3221226064/1.m3u8
CETV3,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226950/index.m3u8
CETV4,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225783/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3
CETV4,http://39.134.65.196/PLTV/88888888/224/3221225750/1.m3u8
CETV4,http://39.134.65.207/PLTV/88888888/224/3221225750/1.m3u8
CETV4,http://39.134.65.209/PLTV/88888888/224/3221225750/1.m3u8
CETV4,http://39.134.65.213/PLTV/88888888/224/3221225750/1.m3u8
CETV4,http://39.134.65.239/PLTV/88888888/224/3221225750/1.m3u8
CETV4,http://39.134.65.245/PLTV/88888888/224/3221225750/1.m3u8
CETV4,http://39.134.65.247/PLTV/88888888/224/3221225750/1.m3u8
CETV4,http://39.134.65.249/PLTV/88888888/224/3221225750/1.m3u8
CETV4,http://39.134.65.251/PLTV/88888888/224/3221225750/1.m3u8
CGTN,http://39.134.65.194/PLTV/88888888/224/3221225510/1.m3u8
CGTN,http://39.134.65.198/PLTV/88888888/224/3221225510/1.m3u8
CGTN,http://39.134.65.207/PLTV/88888888/224/3221225510/1.m3u8
CGTN,http://39.134.65.209/PLTV/88888888/224/3221225510/1.m3u8
CGTN,http://39.134.65.211/PLTV/88888888/224/3221225510/1.m3u8
CGTN,http://39.134.65.215/PLTV/88888888/224/3221225510/1.m3u8
CGTN,http://39.134.65.239/PLTV/88888888/224/3221225510/1.m3u8
CGTN,http://39.134.65.247/PLTV/88888888/224/3221225510/1.m3u8
CGTN,http://39.134.65.249/PLTV/88888888/224/3221225510/1.m3u8
CGTN,http://39.134.65.251/PLTV/88888888/224/3221225510/1.m3u8
CGTN纪录,http://39.134.65.194/PLTV/88888888/224/3221225509/1.m3u8
CGTN纪录,http://39.134.65.196/PLTV/88888888/224/3221225509/1.m3u8
